,411,421,431,4122,4132,4232,4212,4332,Charm Baryons
Total Events,852288.0,1721700.0,284715.0,111335.0,13744.0,13858.0,0.0,368.0,139305.0
Fraction of Total,0.09469866666666667,0.1913,0.031635,0.012370555555555555,0.001527111111111111,0.0015397777777777777,0.0,4.088888888888889e-05,0.015478333333333334
Fraction (Eff > 50.0%),0.07720011111111111,0.1694201111111111,0.025403333333333333,0.010178111111111112,0.0011876666666666667,0.0011101111111111112,0.0,3.288888888888889e-05,0.012508777777777778
"Fraction (Eff > 50.0%, Anti-Eff < 70.0%)",0.04110088888888889,0.0746118888888889,0.01109388888888889,0.0022706666666666665,0.00018277777777777777,0.0004332222222222222,0.0,5.1111111111111115e-06,0.002891777777777778
