,411,421,431,4122,4132,4232,4212,4332,Charm Baryons
All Events,852288.0,1721700.0,284715.0,111335.0,13744.0,13858.0,0.0,368.0,139305.0
Fraction of All Events,0.2716617691636123,0.5487817122486663,0.09075122565073998,0.035487374068191475,0.004380818872710501,0.0044171556997978844,0.0,0.0001172978277908516,0.04440264646849071
Events (c-eff > 50%),475288.0,852310.0,133085.0,30774.0,2467.0,5677.0,0.0,65.0,38983.0
Fraction (c-eff > 50%),0.3088995605885423,0.5539340031417171,0.08649471061951101,0.020000662919223294,0.0016033546312381837,0.003689600422188556,0.0,4.2244852464727176e-05,0.02533586282511476
"Events (c-eff > 50%, b-eff < 70%)",221750.0,496187.0,60745.0,17991.0,1510.0,2284.0,0.0,34.0,21819.0
"Fraction (c-eff > 50%, b-eff < 70%)",0.2696638778091254,0.6033989201284171,0.07387026948146706,0.021878344196906315,0.0018362681194668742,0.0027775075396439344,0.0,4.134643447806207e-05,0.026533466290495186
