,511,521,531,541,5122,5132,5232,5112,5212,5222,5332,Bottom Baryons
Total Events,1284758.0,1291089.0,281901.0,91.0,112001.0,14849.0,14922.0,0.0,0.0,0.0,366.0,142138.0
Fraction of Total,0.1427508888888889,0.14345433333333332,0.031322333333333334,1.0111111111111111e-05,0.012444555555555556,0.0016498888888888889,0.001658,0.0,0.0,0.0,4.066666666666667e-05,0.015793111111111112
Fraction (Eff > 50.0%),0.015441444444444445,0.015169,0.0036052222222222223,2.333333333333333e-06,0.0017785555555555556,0.000234,0.000219,0.0,0.0,0.0,7.111111111111111e-06,0.0022386666666666666
"Fraction (Eff > 50.0%, Anti-Eff < 70.0%)",0.005010555555555555,0.005074111111111111,0.001138888888888889,8.888888888888889e-07,0.0005367777777777777,7.411111111111111e-05,6.222222222222222e-05,0.0,0.0,0.0,1.7777777777777777e-06,0.0006748888888888889
